DDD
HFRO
HIW
HI
HTH
HGV
HLT
HNI
HD
HMC
HON
HMN
HRL
HST
HLI
HOV
HWM
HPQ
HSBC
HUBB
HUBS
HBM
HPP
HUM
HII
HUN
HUYA
H
HY
IAG
IBN
ICL
IDA
IEX
IDT
ITW
IMAX
ICD
IRT
IFN
INFY
ING
IR
NGVT
INGR
IIPR
INSI
NSP
INSP
IBP
ITGR
ICE
IHG
IFS
IBM
IFF
IGT
IP
INSW
IPG
IPI
VBF
VCV
VLT
IVR
OIA
VMO
VKQ
VPV
IVZ
IQI
VVR
VTN
VGM
IIM
INVH
IQV
IRM
IRS
ITUB
ITT
JPM
JILL
SJM
JBL
J
JHX
JHG
JOF
JBGS
JEF
JELD
JKS
JBT
BTO
HEQ
JHS
JHI
HPF
HPI
HPS
PDT
HTD
JNJ
JCI
JLL
JMIA
JNPR
LRN
KAI
KAR
KYN
KB
KBH
KBR
K
KMPR
KMT
KW
KEN
KDP
KEY
KEYS
KRC
KRP
KMB
KIM
KMI
KFS
KGC
KEX
KRG
KKR
KIO
KREF
KNX
KNOP
KN
KSS
PHG
KTB
KOP
KEP
KF
KFY
KOS
KR
KRO
KT
LB
SCX
LHX
LH
LADR
LW
LVS
LGI
LAZ
LZB
LCII
LEA
LEE
LEG
LDOS
LMND
LC
LEN
LII
LEVI
LXP
LPL
USA
ASG
LBRT
LITB
LNC
LIN
LNN
LAD
LAC
LYV
RAMP
LYG
SCD
LMT
L
LOMA
LPX
LOW
LXU
LTC
LL
LXFR
LYB
MTB
MHO
MAC
MFD
BMA
M
MCN
MSGE
MSGS
MGA
MX
MGY
MAIN
MMD
MANU
MTW
MAN
MFC
MRO
MPC
MMI
MCS
MPX
HZO
MKL
VAC
MMC
MLM
MAS
DOOR
MTZ
MA
MTDR
MTRN
MATX
MLP
MMS
MXL
MEC
MBI
MKC
MCD
MUX
MCK
MDU
MPW
MED
MD
MDT
MRK
MCY
MTH
MTR
MSB
MEI
MET
MCB
MTD
MXE
MXF
MFA
MCR
MGF
MIN
MMT
MFM
MTG
MGM
MAA
AMPY
MLR
HIE
MTX
MG
MUFG
MFG
MODN
MOD
MC
MOGU
MHK
MOH
TAP
MNR
MEG
MCO
MS
CAF
MSD
EDD
IIF
MOS
MSI
MOV
MPLX
MRC
MSA
MSM
MSCI
MLI
MWA
MVF
MUR
MUSA
MVO
MYE
NBR
NC
NBHC
NFG
NGG
NHI
NOV
NPK
NNN
SID
NSA
NGS
NGVC
NRP
NTZ
NWG
NVGS
NMM
NNI
NVRO
HYB
GF
NMFC
EDU
NYCB
NYT
NJR
NEU
NEM
NR
NEXA
NREF
NXRT
NEP
NEE
NGL
NKE
NINE
NIO
NI
NL
NOAH
NOK
NOMD
NMR
NAT
JWN
NSC
NOA
NRT
NOC
NWN
NWE
NCLH
NVS
NVO
DNOW
NRG
NUS
NUE
NS
NTR
NVG
NUV
NUW
NEA
NAZ
NKX
NCA
NAC
JCE
JQC
DIAX
JFR
JGH
NXC
NXN
NMT
NMS
NOM
JLS
JMM
NZF
NMCO
NMZ
NMI
NXJ
NRK
NNY
NAN
NQP
JPC
JPI
NAD
JRI
JRS
BXMX
SPXX
NIM
NXP
NBB
NPV
NVT
NVR
OXY
OII
OCN
OFG
OGE
OI
OIS
ODC
ORI
OLN
OHI
OMC
OGS
OLP
OCFT
OMF
OKE
ONTO
OOMA
OPY
ORCL
ORAN
ORC
OEC
ORN
IX
ORA
OSK
OR
OTIS
OUT
OSG
OVV
OMI
OC
OXM
PCG
PKG
PD
PAGS
PANW
PAM
PHX
PARR
PAR
PGRE
PKE
PK
PH
PSN
PAYC
PBF
BTU
PSO
PEB
PBA
PFSI
PMT
PAG
PNR
PEN
PFGC
PBT
PVL
PRT
PRGO
PBR
PFE
GHY
ISD
PM
PSX
FENG
PHR
DOC
PDM
PCQ
PCK
PZC
PCM
PTY
PCN
PDI
PGP
PHK
PFL
PFN
PMF
PML
PMX
PNF
PNI
PYN
RCS
PNW
PINS
PHD
PHT
MAV
MHI
PXD
PIPR
PBI
PJT
PAA
PAGP
PLNT
AGS
PHI
PLYM
PNC
PNM
PII
POR
PKX
POST
PSTL
PPG
PPL
PDS
PBH
PRI
PRMW
PGZ
PRA
PG
PGR
PLD
PUMP
PRO
PB
PRLB
PFS
PRU
PUK
TLK
PEG
PSA
PHM
PSTG
PMM
PIM
PMO
PPT
PVH
QTWO
QGEN
QUAD
KWR
NX
PWR
QD
DGX
CTV
RDN
RFL
RL
RRC
RNGR
PACK
RJF
RYAM
RYN
RTX
RMAX
RC
O
RWT
RBC
RM
RF
RGS
RGA
RS
RELX
RNR
SOL
RSG
REZI
RMD
QSR
REVG
RVLV
REX
REXR
RH
RNG
RIO
RBA
RMM
RIV
OPP
RLI
RLJ
RHI
ROK
RCI
ROG
ROL
ROP
RY
RCL
RGT
RMT
RVT
RES
RPM
R
RYI
RHP
SPGI
SBR
SB
SAFE
CRM
SBH
SJT
SD
SAND          
SAP
SAR
SSL
BFS
SLB
SNDR
SAIC
STNG
SMG
KTF
KSM
SRL
SE
SA
SMHI
SEE
WTTR
SEM
SLQT
SRE
ST
SXT
SQNS
SRG
SCI
SERV
NOW
SFL
SHAK
SHW
FOUR
SHG
SHOP
SSTK
SBSW
SIG
SBOW
SPG
SSD
SITC
SITE
SIX
TSLX
SJW
SKM
SKX
SKY
SLG
SM
SMAR
SNN
SNAP
SNA
SQM
SOI
SWI
SAH
SON
SOS
SOR
SO
SCCO
LUV
SWX
SWN
SPE
SPB           
SR
SPR
SAVE
SPOT
SII
SPXC
SQ
JOE
STAG
SMP
SXI
SWK
STN
SGU
STWD
STT
SPLP
SCS
SCM
SCL
STE
STC
SF
STM
EDF
SRI
SYK
MSC
RGR
SPH
SMFG
INN
SUM
SMLP
SUI
SLF
SXC
SU
STG
NOVA
SUN
SHO
SUP
SUZ
SWZ
SYF
SNX
SNV
SYY
TWN
TSM
TAK
TAL
TALO
SKT
TPR
TRGP
TGT
TARO
TMHC
TRP
TSI
TEL
TISI
FTI
TECK
TK
TNK
TGNA
TRC
HQH
THQ
HQL
THW
TDOC
TEO
TDY
TFX
VIV
TEF
TDS
TU
TDF
EMF
TEI
TPX
TS
TME
THC
TNC
TDC
TEX
TX
TRNO
TTI
TEVA
TPL
TXT
TFII
AES
AZEK
BK
BX
CEE
SCHW
COO
GDV
GRX
GDL
THG
TRV
TMO
THR
TRI
THO
TDW
TLYS
TKR
TWI
TJX
TOL
TR
BLD
TTC
TD
NDP
TYG
TEAF
NTG
TTP
TPZ
TSQ
TM
TRTX
TT
TAC
TCI
TDG
RIG
TGS
TRU
TG
THS
TREX
TY
TPH
TNET
TRN
TSE
TPVG
TGI
TROX
TBI
TFC
TNP
TUP
TKC
TPB
TPC
TWLO
TWO
TYL
TSN
USB
USPH
SLCA
UBER
UI
UBS
UDR
UGI
UGP
UMH
UA
UAA
UFI
UNF
UL
UNP
UIS
UMC
UNFI
UPS
URI
USM
X
UNH
UTL
UVV
UHT
UHS
UVE
UTI
UNM
UE
USFD
USAC
USNA
USDP
VFC
EGY
MTN
VAL
VALE
VLO
VHI
VMI
VVV
VAPO
VGR
VEEV
VEL
VTR
VZ
VET
VRT
VVI
VICI
VNCE
VIPS
SPCE
VHC
VGI
V
VSH
VPG
VIST
VSTO
VST
VOC
VNO
IAE
IHD
VOYA
IGA
IGD
IDE
VMC
WTI
WPC
WRB
GWW
WNC
WD
WMT
DIS
HCC
WCN
WM
WAT
WSO
WTS
W
WBS
WEC
WMK
WFC
EOD
WELL
WCC
WST
WAL
WEA
EMD
GDO
EHI
HIX
HIO
HYI
SBI
IGI
PAI
MMU
DMO
MHF
WIW
WIA
WES
WU
WAB
WLK
WLKP
WRK
WHG
WEX
WY
WPM
WHR
WTM
WSR
WOW
WMB
WSM
WGO
WIT
WNS
WWW
WF
WK
WOR
WPP
WH
XYF
XHR
XRX
XIN
XPO
XYL
YELP
YETI
YEXT
YRD
DAO
YPF
YUMC
YUM
ZBH
ZTS
ZTO
ZUO
ZYME
XXII
FAX
IAF
AEF
FCO
ACU
ATNM
AE
UAVS
AIRI
APT
AAMC
AMBO
DIT
AMS
USAS
AMPE
ANVS
ARMP
AINC
AWX
ASM
BTG
BCV
BHB
BRN
BATL
BIOX
PHGE
BGI
BKTI
BRBS
DMF
CMCL
CEI
CANF
YCBD
CVM
CET
LEU
CQP
LNG
CVR
CPHI
CKX
GLV
GLQ
GLO
COHN
CIX
LODE
CMT
CRMD
CRF
CLM
CVU
CIK
DHY
CTO
DXR
VFL
DLA
DNN
DSS
DXF
GRF
EVM
CEV
EVV
EIM
ENX
ELMD
ELLO
ECF
MSN
EMX
UUUU
ENSV
ELA
EQX
ESP
EVBN
EVI
EPM
FEN
BDL
FSI
FTF
FSP
FRD
GAU
GGN
JOB
GSAT
GORO
AUMN
GV
GTE
SIM
AIM
HUSA
IBIO
IMO
IOR
IGC
INDO
INFU
IHT
NSPR
ITRG
THM
INTT
INUV
VKI
ISDR
ITP
LGL
LCTX
MAG
MHH
MTNB
MTA
MXC
MLSS
MYO
NNVC
NHC
NAVB
NTIP
NHS
NML
NBH
NRO
GBR
NEN
NGD
NXE
NAK
NOG
NBY
NG
OBLG
OCX
OGEN
PTN
PZG
PRK
PED
HNW
PLAG
PLG
PW
PLX
RLGT
UTG
RHE
RCG
RVP
REI
SACH
SEB
SENS
SVT
SIF
SVM
SILV
XPL
STXS
SSY
SDPI
TRX
TGB
GLU
TMP
TMQ
TPHS
TRT
UAMY
UUU
URG
UEC
VGZ
VNRX
EAD
ERC
ERH
WRN
WYY
XTNT
ZDGE
ZOM
